index,variable,label_pt,included,eleg,V1,V2,V3,repeating_instrument,form_name_en,field_type,col_types,choices,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,branching_logic_(show_field_only_if...),required_field?,field_annotation,variable_column_(original),factor,level_pt,variable_original,label_original,form_name_pt,label_en
645,dosage_schedule,Cronograma de medicação,1,0,0,1,1,1,compliance,dropdown,f,"1, 6 cápsulas ao dia (2 cápsulas com café da manhã, 2 com almoço e 2 com o jantar) | 2, 6 cápsulas ao dia, em outros horários | 3, 3 cápsulas ao dia (1 cápsula com café da manhã, 1 com almoço e 1 com o jantar) | 4, 3 cápsulas ao dia, em outros horários | 5, Outros (especifique)",,,,,[adhere_1] = '1' or [adhere_1] = '0',y,,XU,"data$dosage_schedule.factor = factor(data$dosage_schedule,levels=c(""1"",""2"",""3"",""4"",""5"")) # dosage_schedule 88","levels(data$dosage_schedule.factor)=c(""6 cápsulas ao dia (2 cápsulas com café da manhã, 2 com almoço e 2 com o jantar)"",""6 cápsulas ao dia, em outros horários"",""3 cápsulas ao dia (1 cápsula com café da manhã, 1 com almoço e 1 com o jantar)"",""3 cápsulas ao dia, em outros horários"",""Outros (especifique)"") # dosage_schedule 304",adhere_2,"Como você toma o medicamento? Quantas cápsulas, em quais horários?",adeso,Medication schedule
646,alternative_schedule,Outra forma de tomar (especifique),1,0,0,1,1,1,compliance,text,c,,,,,,[adhere_2] = '5',y,,XV,,,adhere_2_2,Outra forma de tomar a medicação (especifique),adeso,Alternative way to take (specify)
647,reminder_method,Método de lembrete para medicamento,1,0,0,1,1,1,compliance,dropdown,f,"1, Alarme no celular | 2, Caixa de remédios com divisórias para cada horário | 3, Lembrete escrito em um calendário | 4, Outro (especificar)",,,,,[adhere_2] = '1' or [adhere_2] = '2' or [adhere_2] = '3' or [adhere_2] = '4' or [adhere_2] = '5',y,,XW,"data$reminder_method.factor = factor(data$reminder_method,levels=c(""1"",""2"",""3"",""4"")) # reminder_method 84","levels(data$reminder_method.factor)=c(""Alarme no celular"",""Caixa de remédios com divisórias para cada horário"",""Lembrete escrito em um calendário"",""Outro (especificar)"") # reminder_method 169",adhere_3,"Como você se lembra de tomar o medicamento? Você usa algum tipo de lembrete (alarmes, estojos de remédios, etc.)?",adeso,Medication reminder method
648,alternative_reminder,Outro lembrete (especifique),1,0,0,1,1,1,compliance,text,c,,,,,,[adhere_3] = '4',y,,XX,,,adhere_3_3,Outras formas de lembrete (especifique),adeso,Other reminder (specify)
649,missed_study_medication,Perdeu alguma dose?,1,0,0,1,1,1,compliance,radio,f,"0, Não | 1, Sim",,,,,[adhere_3] = '1' or [adhere_3] = '2' or [adhere_3] = '3' or [adhere_3] = '4',y,,XY,"data$missed_study_medication.factor = factor(data$missed_study_medication,levels=c(""0"",""1"")) # missed_study_medication 92","levels(data$missed_study_medication.factor)=c(""Não"",""Sim"") # missed_study_medication 58",adhere_4,Você perdeu alguma dose do medicamento do estudo?,adeso,Missed any dose?
650,missed_dose_count,Quantas doses perdidas?,1,0,0,1,1,1,compliance,dropdown,f,"1, 1 vez | 2, 2 vezes | 3, 3 a 5 vezes | 4, 5 a 10 vezes | 5, mais de 10 vezes",,,,,[adhere_4] = '1',y,,XZ,"data$missed_dose_count.factor = factor(data$missed_dose_count,levels=c(""1"",""2"",""3"",""4"",""5"")) # missed_dose_count 92","levels(data$missed_dose_count.factor)=c(""1 vez"",""2 vezes"",""3 a 5 vezes"",""5 a 10 vezes"",""mais de 10 vezes"") # missed_dose_count 106",adhere_4_1,Quantas vezes você perdeu alguma dose do medicamento do estudo?,adeso,Number of missed doses
651,missed_dose_timing,Momentos de doses perdidas,1,0,0,1,1,1,compliance,dropdown,f,"1, Com o café da manhã | 2, Com o almoço | 3, Com o jantar | 4, Outro (especificar)",,,,,[adhere_4] = '1',y,,YA,"data$missed_dose_timing.factor = factor(data$missed_dose_timing,levels=c(""1"",""2"",""3"",""4"")) # missed_dose_timing 90","levels(data$missed_dose_timing.factor)=c(""Com o café da manhã"",""Com o almoço"",""Com o jantar"",""Outro (especificar)"") # missed_dose_timing 115",adhere_4_2,Em quais momentos você perdeu as dose do medicamento do estudo?,adeso,Timing of missed doses
652,missed_dose_timing_other,Outros momentos de doses perdidas,1,0,0,1,1,1,compliance,text,c,,,,,,[adhere_4_2] = '4',y,,YB,,,adhere_4_3,Outros momentos em que perdeu as doses (especificar),adeso,Other timing of missed doses
653,medication_discontinuation,Parou de tomar o medicamento?,1,0,0,1,1,1,compliance,radio,f,"0, Não | 1, Sim",,,,,[adhere_4] = '1' or [adhere_4] = '0',y,,YC,"data$medication_discontinuation.factor = factor(data$medication_discontinuation,levels=c(""0"",""1"")) # medication_discontinuation 98","levels(data$medication_discontinuation.factor)=c(""Não"",""Sim"") # medication_discontinuation 61",adhere_5,"Em algum momento durante o estudo, você parou de tomar o medicamento?",adeso,Stopped taking the medication?
654,discontinuation_duration,Dias de interrupção,1,0,0,1,1,1,compliance,dropdown,f,"1, 1 dia | 2, 2 dias | 3, 3 a 5 dias | 4, 5 a 10 dias | 5, mais de 10 dias",,,,,[adhere_5] = '1',y,,YD,"data$discontinuation_duration.factor = factor(data$discontinuation_duration,levels=c(""1"",""2"",""3"",""4"",""5"")) # discontinuation_duration 106","levels(data$discontinuation_duration.factor)=c(""1 dia"",""2 dias"",""3 a 5 dias"",""5 a 10 dias"",""mais de 10 dias"") # discontinuation_duration 109",adhere_5_1,"Se sim, por quantos dias?",adeso,Days of interruption
655,discontinuation_reason,Motivo da interrupção,1,0,0,1,1,1,compliance,dropdown,f,"1, Efeito colateral | 2, Esquecimento | 3, Dificuldade em seguir horários | 4, Outro (especificar)",,,,,[adhere_5] = '1',y,,YE,"data$discontinuation_reason.factor = factor(data$discontinuation_reason,levels=c(""1"",""2"",""3"",""4"")) # discontinuation_reason 98","levels(data$discontinuation_reason.factor)=c(""Efeito colateral"",""Esquecimento"",""Dificuldade em seguir horários"",""Outro (especificar)"") # discontinuation_reason 134",adhere_5_2,"Se sim, por quê?",adeso,Reason for interruption
656,discontinuation_reason_other,Outra razão (especificar),1,0,0,1,1,1,compliance,notes,c,,,,,,[adhere_5_2] = '4',y, @PLACEHOLDER = 'Especifique',YF,,,adhere_5_3,Outra justificativa para ter parado a medicação (especificar),adeso,Other reason (specify)
657,ran_out_of_medication,Ficou sem medicamento?,1,0,0,1,1,1,compliance,radio,f,"0, Não | 1, Sim",{adhere_6_1},,,,[adhere_5] = '1' or [adhere_5] = '0',y,,YG,"data$ran_out_of_medication.factor = factor(data$ran_out_of_medication,levels=c(""0"",""1"")) # ran_out_of_medication 88","levels(data$ran_out_of_medication.factor)=c(""Não"",""Sim"") # ran_out_of_medication 56",adhere_6,Você já ficou sem o medicamento do estudo alguma vez porque as cápsulas acabaram antes de pegar a reposição?,adeso,Ran out of medication?
658,ran_out_reason,Motivo de falta de medicamento,1,0,0,1,1,1,compliance,notes,c,,,,,,[adhere_6] = '1',, @PLACEHOLDER = 'Especifique',YH,,,adhere_6_1,Motivo para ter ficado sem o medicamento,adeso,Reason for running out of medication
659,daily_routine_change_medication_adherence_yn,Mudança de rotina afeta adesão ao medicamento?,0,0,0,1,1,1,compliance,radio,f,"0, Não | 1, Sim",{adhere_7_1},,,,[adhere_6] = '1' or [adhere_6] = '0',y,,YI,"data$daily_routine_change_medication_adherence_yn.factor = factor(data$daily_routine_change_medication_adherence_yn,levels=c(""0"",""1"")) # daily_routine_change_medication_adherence_yn 134","levels(data$daily_routine_change_medication_adherence_yn.factor)=c(""Não"",""Sim"") # daily_routine_change_medication_adherence_yn 79",adhere_7,Houve alguma mudança em sua rotina diária que pode afetar sua capacidade de tomar o medicamento de forma consistente?,adeso,Routine change affecting medication adherence?
660,daily_routine_change_specify,Especificar mudança na rotina,0,0,0,1,1,1,compliance,notes,c,,,,,,[adhere_7] = '1',y, @PLACEHOLDER = 'Especifique',YJ,,,adhere_7_1,Mudança na rotina que afeta a tomada (especificar),adeso,Specify routine change
661,perceived_improvement,Percebeu melhorias?,1,0,0,1,1,1,compliance,radio,f,"0, Não | 1, Sim",{adhere_8_1},,,,[adhere_7] = '1' or [adhere_7] = '0',y,,YK,"data$perceived_improvement.factor = factor(data$perceived_improvement,levels=c(""0"",""1"")) # perceived_improvement 88","levels(data$perceived_improvement.factor)=c(""Não"",""Sim"") # perceived_improvement 56",adhere_8,Você está percebendo alguma melhoria em sua condição que atribui ao medicamento do estudo?,adeso,Perceived improvements?
662,improvements_reported,Melhorias relatadas,1,0,0,1,1,1,compliance,notes,c,,,,,,[adhere_8] = '1',y, @PLACEHOLDER = 'Especifique',YL,,,adhere_8_1,"Especifique as melhorias relatadas (no caso de sintomas, inserir no instrumento específico)",adeso,Reported improvements
663,challenges_taking_medication,Dificuldades com medicação?,1,0,0,1,1,1,compliance,radio,f,"0, Não | 1, Sim",{adhere_10_1},,,,[adhere_8] = '1' or [adhere_8] = '0',y,,YM,"data$challenges_taking_medication.factor = factor(data$challenges_taking_medication,levels=c(""0"",""1"")) # challenges_taking_medication 102","levels(data$challenges_taking_medication.factor)=c(""Não"",""Sim"") # challenges_taking_medication 63",adhere_10,Você está enfrentando algum desafio que atrapalha a tomada do medicamento?,adeso,Difficulties with medication?
664,specify_challenges_medication_adherence,Desafios na adesão ao medicamento,0,0,0,1,1,1,compliance,notes,c,,,,,,[adhere_10] = '1',y, @PLACEHOLDER = 'Especifique',YN,,,adhere_10_1,Especifique os desafios que atrapalham na tomada,adeso,Challenges with medication adherence
665,medication_confidence_scale,Confiança no cronograma (1-10),1,0,0,1,1,1,compliance,slider,i,Nada confiante | Neutro | Totalmente confiante,,number,,10,[adhere_10] = '1' or [adhere_10] = '0' and [event-number] <> '4',y,,YO,,,adhere_11,"Em uma escala de 1 a 10, quão confiante você está em seguir o cronograma de medicamentos?",adeso,Confidence in schedule (1-10)
666,overall_compliance_rate,Adesão ao medicamento,1,0,0,1,1,1,compliance,radio,f,"1, Ruim | 2, Regular | 3, Boa | 4, Excelente",,,,,[adhere_10] = '1' or [adhere_10] = '0',y,,YP,"data$overall_compliance_rate.factor = factor(data$overall_compliance_rate,levels=c(""1"",""2"",""3"",""4"")) # overall_compliance_rate 100","levels(data$overall_compliance_rate.factor)=c(""Ruim"",""Regular"",""Boa"",""Excelente"") # overall_compliance_rate 81",adhere_12,"Como você classificaria sua adesão geral ao medicamento do estudo? (opções: ruim, regular, boa, excelente)",adeso,Medication adherence
667,compliance_complete,Formulário adeso completo?,1,0,0,1,1,1,compliance,radio,f,"0, Incomplete | 1, Unverified |2, Complete",,,,,,,,YQ,"data$compliance_complete.factor = factor(data$compliance_complete,levels=c(""0"",""1"",""2"")) # compliance_complete 88","levels(data$compliance_complete.factor)=c(""Incomplete"",""Unverified"",""Complete"") # compliance_complete 79",adeso_complete,Complete?,adeso,Form adeso complete?
668,adverse_event_evaluation_date,Data avaliação evento adverso,0,0,1,1,1,1,events,text,D,,,date_dmy,,,,y,,YR,,,ae_evaluation_date,Adverse Event Evaluation Date,eventos_adversos,Adverse event evaluation date
669,adverse_event_this_cycle_yn,Evento adverso neste ciclo?,0,0,1,1,1,1,events,radio,f,"0, Não | 1, Sim",,,,,,y,,YS,"data$adverse_event_this_cycle_yn.factor = factor(data$adverse_event_this_cycle_yn,levels=c(""0"",""1"")) # adverse_event_this_cycle_yn 100","levels(data$adverse_event_this_cycle_yn.factor)=c(""Não"",""Sim"") # adverse_event_this_cycle_yn 62",ae_yes_no,Algum Evento Adverso neste ciclo?,eventos_adversos,Adverse event in this cycle?
670,serious_adverse_event_yn,Evento adverso grave?,0,0,1,1,1,1,events,dropdown,f,"0, Não | 1, Sim",Serious Adverse Event (Code C41335),,,,[ae_yes_no] = '1',,,YT,"data$serious_adverse_event_yn.factor = factor(data$serious_adverse_event_yn,levels=c(""0"",""1"")) # serious_adverse_event_yn 94","levels(data$serious_adverse_event_yn.factor)=c(""Não"",""Sim"") # serious_adverse_event_yn 59",sae,Evento Adverso Grave?  ,eventos_adversos,Serious adverse event?
671,adverse_event,Evento adverso,0,0,1,1,1,1,events,text,c,BIOPORTAL:NCIT,(Indexado pelo NCIT),,,,[ae_yes_no] = '1',,,YU,,,adverse_event,Evento Adverso,eventos_adversos,Adverse event
672,adverse_event_description,Descrição evento adverso,0,0,1,1,1,1,events,notes,c,,Adverse Event (NCIT: C41331),,,,[ae_yes_no] = '1',,,YV,,,ae_description,Descrição,eventos_adversos,Adverse event description
673,adverse_event_classification,Classificação evento adverso,0,0,1,1,1,1,events,dropdown,f,"2, Alergia/Imunologia | 3, Auditivo/Ouvido | 4, Sangue/Medula Óssea | 5, Arritmia Cardíaca | 6, Cardíaco Geral | 7, Coagulação | 8, Sintomas Constitucionais | 9, Óbito/Morte | 10, Dermatologia/Pele | 11, Endócrino | 12, Gastrointestinal | 13, Crescimento e Desenvolvimento | 14, Hemorragia/Sangramento | 15, Hepatobiliar/Pâncreas | 16, Infecção | 17, Linfáticos | 18, Metabólico/Laboratorial | 19, Musculoesquelético/Tecido Conjuntivo | 20, Neurologia | 21, Ocular/Visual | 22, Dor | 23, Pulmonar/Trato Respiratório Superior | 24, Renal/Geniturinário | 25, Neoplasia Secundária | 26, Função Sexual/Reprodutiva | 27, Síndromes | 28, Vascular | 29, Psiquiátrico | 30, Outros",,autocomplete,,,[ae_yes_no] = '1' or [sae] = '1',,,YW,"data$adverse_event_classification.factor = factor(data$adverse_event_classification,levels=c(""2"",""3"",""4"",""5"",""6"",""7"",""8"",""9"",""10"",""11"",""12"",""13"",""14"",""15"",""16"",""17"",""18"",""19"",""20"",""21"",""22"",""23"",""24"",""25"",""26"",""27"",""28"",""29"",""30"")) # adverse_event_classification 231","levels(data$adverse_event_classification.factor)=c(""Alergia/Imunologia"",""Auditivo/Ouvido"",""Sangue/Medula Óssea"",""Arritmia Cardíaca"",""Cardíaco Geral"",""Coagulação"",""Sintomas Constitucionais"",""Óbito/Morte"",""Dermatologia/Pele"",""Endócrino"",""Gastrointestinal"",""Crescimento e Desenvolvimento"",""Hemorragia/Sangramento"",""Hepatobiliar/Pâncreas"",""Infecção"",""Linfáticos"",""Metabólico/Laboratorial"",""Musculoesquelético/Tecido Conjuntivo"",""Neurologia"",""Ocular/Visual"",""Dor"",""Pulmonar/Trato Respiratório Superior"",""Renal/Geniturinário"",""Neoplasia Secundária"",""Função Sexual/Reprodutiva"",""Síndromes"",""Vascular"",""Psiquiátrico"",""Outros"") # adverse_event_classification 618",aes,Classificação,eventos_adversos,Adverse event classification
674,adverse_event_grade,Grau evento adverso,0,0,1,1,1,1,events,dropdown,f,"1, 1 Mild AE | 2, 2 Moderate AE | 3, 3 Severe AE | 4, 4 Life-threatening or disabling AE | 5, 5 Death related to AE",,,,,[ae_yes_no] = '1',y,,YX,"data$adverse_event_grade.factor = factor(data$adverse_event_grade,levels=c(""1"",""2"",""3"",""4"",""5"")) # adverse_event_grade 96","levels(data$adverse_event_grade.factor)=c(""1 Mild AE"",""2 Moderate AE"",""3 Severe AE"",""4 Life-threatening or disabling AE"",""5 Death related to AE"") # adverse_event_grade 145",grade,Grau,eventos_adversos,Adverse event grade
675,adverse_event_start_date,Data início evento adverso,0,0,1,1,1,1,events,text,D,,Adverse Event Start Date (NCIT: C78536),date_dmy,,,[ae_yes_no] = '1',,,YY,,,start_date,Início,eventos_adversos,Adverse event start date
676,adverse_event_end_date,Data término evento adverso,0,0,1,1,1,1,events,text,D,,Adverse Event End Date (NCIT: C78537),date_dmy,,,[ae_yes_no] = '1',,,YZ,,,stop_date,Término,eventos_adversos,Adverse event end date
677,adverse_event_attribution,Causalidade evento adverso,0,0,1,1,1,1,events,dropdown,f,"1, Não Relacionado | 2, Improvável | 3, Possível | 4, Provável | 5, Definitivo",Causality Assessment (NCIT: C142413),,,,[ae_yes_no] = '1',,,ZA,"data$adverse_event_attribution.factor = factor(data$adverse_event_attribution,levels=c(""1"",""2"",""3"",""4"",""5"")) # adverse_event_attribution 108","levels(data$adverse_event_attribution.factor)=c(""Não Relacionado"",""Improvável"",""Possível"",""Provável"",""Definitivo"") # adverse_event_attribution 114",attribution,Atribuição de causalidade,eventos_adversos,Adverse event causality
678,adverse_event_action_taken,Ação tomada evento adverso,0,0,1,1,1,1,events,dropdown,f,"1, Nenhuma | 2, Dose Reduzida | 3, Terapia Interrompida | 4, Excluído do estudo",Adverse Event Action Taken with Study Treatment (NCIT: C83013),,,,[ae_yes_no] = '1',,,ZB,"data$adverse_event_action_taken.factor = factor(data$adverse_event_action_taken,levels=c(""1"",""2"",""3"",""4"")) # adverse_event_action_taken 106","levels(data$adverse_event_action_taken.factor)=c(""Nenhuma"",""Dose Reduzida"",""Terapia Interrompida"",""Excluído do estudo"") # adverse_event_action_taken 119",action_taken,Ação Realizada,eventos_adversos,Action taken for adverse event
679,adverse_event_followup,Seguimento evento adverso,0,0,1,1,1,1,events,dropdown,f,"1, 1. Resolvido | 2, 2. Resolvido com sequela | 3, 3. Não resolvido | 4, 4. Disfunção",,,,,[action_taken] <> '',,,ZC,"data$adverse_event_followup.factor = factor(data$adverse_event_followup,levels=c(""1"",""2"",""3"",""4"")) # adverse_event_followup 98","levels(data$adverse_event_followup.factor)=c(""1. Resolvido"",""2. Resolvido com sequela"",""3. Não resolvido"",""4. Disfunção"") # adverse_event_followup 121",seguimento,Seguimento,eventos_adversos,Adverse event follow-up
680,additional_adverse_events_yn,Eventos adversos adicionais?,0,0,1,1,1,1,events,dropdown,f,"0, Não | 1, Sim",,,,,[ae_yes_no] = '1',,,ZD,"data$additional_adverse_events_yn.factor = factor(data$additional_adverse_events_yn,levels=c(""0"",""1"")) # additional_adverse_events_yn 102","levels(data$additional_adverse_events_yn.factor)=c(""Não"",""Sim"") # additional_adverse_events_yn 63",additional_aes,Eventos Adversos Adicionais?,eventos_adversos,Additional adverse events?
681,adverse_event_concat,Evento adverso concatenado,0,0,1,1,1,1,events,notes,c,,,,,,,," @RICHTEXT
@READONLY
@IF([ae_yes_no]<>""1"","""",@SETVALUE=""[form-link:eventos_adversos:Link para o formulário]
<p>Data da avaliação: [ae_evaluation_date]
<p>Registro do participante: [eleg_arm_1][c83083]
<p>Número da visita: [event-label]
<p>Número da ocorrência: [current-instance]

<p>Evento adverso indexado pelo NCIT: [adverse_event]
<p>Sistema acometido: [aes]
<p>Início: [start_date]
<p>Término: [stop_date]
<p>Descrição: [ae_description]

<p>Evento Adverso Grave? [sae]
<p>Classificação gravidade: Grau [grade]; 
<p>Atribuição de causalidade: [attribution]

<p>Ação Realizada: [action_taken]
<p>Seguimento: [seguimento]"")",ZE,,,ae_concatenate,Evento adverso,eventos_adversos,Concatenated adverse event
682,adverse_complete,Formulário eventos_adversos completo?,1,0,1,1,1,1,events,radio,f,"0, Incomplete | 1, Unverified |2, Complete",,,,,,,,ZF,"data$adverse_complete.factor = factor(data$adverse_complete,levels=c(""0"",""1"",""2"")) # adverse_complete 82","levels(data$adverse_complete.factor)=c(""Incomplete"",""Unverified"",""Complete"") # adverse_complete 76",eventos_adversos_complete,Complete?,eventos_adversos,Form eventos_adversos complete?
683,evaluation_date,Data,1,0,1,1,1,0,medical,text,D,,,date_dmy,,,,y,,ZG,,,md_date,Data,avaliao_mdica,Date
684,pipe_comorbidities,Comorbidades,0,0,1,1,1,0,medical,notes,c,,,,,,[eleg_arm_1][comorbidity][1] = '1',," @IF([eleg_arm_1][comorbidity][1] = '1', @SETVALUE='[eleg_arm_1][com_concat][last-instance]',@HIDDEN)",ZH,,,md_pipe_com,Comorbidities,avaliao_mdica,Comorbidities
685,diuretic_use,Usa diurético?,1,0,1,1,1,0,medical,radio,f,"0, Não | 1, Sim",,,,,,y,Bioelectric Impedance Analysis (NCIT: C43545),ZI,"data$diuretic_use.factor = factor(data$diuretic_use,levels=c(""0"",""1"")) # diuretic_use 70","levels(data$diuretic_use.factor)=c(""Não"",""Sim"") # diuretic_use 47",bia_diuretic,Faz uso de diurético?,avaliao_mdica,Uses diuretics?
686,diuretic_dose_change,Mudança na dose do diurético?,1,0,1,1,1,0,medical,radio,f,"0, Não | 1, Sim",,,,,[bia_diuretic] = '1',y,Bioelectric Impedance Analysis (NCIT: C43545),ZJ,"data$diuretic_dose_change.factor = factor(data$diuretic_dose_change,levels=c(""0"",""1"")) # diuretic_dose_change 86","levels(data$diuretic_dose_change.factor)=c(""Não"",""Sim"") # diuretic_dose_change 55",bia_dosechange,Houve mudança na dose de diurético nos últimos 3 meses?,avaliao_mdica,Change in diuretic dose?
687,pipe_current_medications,Medicamentos atuais,0,0,1,1,1,0,medical,notes,c,,,,,,,," @IF([eleg_arm_1][medication][1] = '1', @SETVALUE= '[eleg_arm_1][drugs_concat][last-instance]',@HIDDEN)",ZK,,,md_pipe_drugs,Medicações em uso atual,avaliao_mdica,Current medications
688,pipe_previous_medications,Medicamentos anteriores,0,0,1,1,1,0,medical,notes,c,,,,,,,," @IF([eleg_arm_1][medicationprevious][1] = '1', @SETVALUE='[eleg_arm_1][previousdrugs_concat][last-instance]',@HIDDEN)",ZL,,,md_pipe_prevdrugs,Medicamentos utilizados previamente,avaliao_mdica,Previous medications
689,pipe_medical_history,Antecedentes médicos,0,0,1,1,1,0,medical,notes,c,,,,,,,," @IF([eleg_arm_1][medicalhistory][1] = '1', @SETVALUE='[eleg_arm_1][pmh_concat][last-instance]',@HIDDEN)",ZM,,,md_pipe_pmh,Antecedentes Médicos,avaliao_mdica,Medical history
690,menses,A participante menstrua?,1,0,1,1,1,0,medical,radio,f,"0, Não | 1, Sim",,,,,,y,Bioelectric Impedance Analysis (NCIT: C43545),ZN,"data$menses.factor = factor(data$menses,levels=c(""0"",""1"")) # menses 58","levels(data$menses.factor)=c(""N"",""S"") # menses 37",bia_menses,A participante menstrua?,avaliao_mdica,Participant menstruates?
691,regular_cycle,Ciclo menstrual regular?,1,0,1,1,1,0,medical,radio,f,"0, Não | 1, Sim",,,,,[bia_menses] = '1',y,Bioelectric Impedance Analysis (NCIT: C43545),ZO,"data$regular_cycle.factor = factor(data$regular_cycle,levels=c(""0"",""1"")) # regular_cycle 72","levels(data$regular_cycle.factor)=c(""N"",""S"") # regular_cycle 44",bia_mensesreg,Ciclo menstrual regular?,avaliao_mdica,Regular menstrual cycle?
692,cycle_duration,Duração ciclo menstrual,1,0,1,1,1,0,medical,text,i,,,integer,20,35,[bia_menses] = '1' AND [bia_mensesreg] = '1',,,ZP,,,bia_cycleduration,Duração do ciclo menstrual (O ciclo menstrual tem uma duração média de 28 dias),avaliao_mdica,Menstrual cycle duration
693,last_menses,Última menstruação,1,0,1,1,1,0,medical,text,D,,,date_dmy,,,[bia_menses] = '1' AND [bia_mensesreg] = '1',y,"Bioelectric Impedance Analysis (NCIT: C43545)
@HIDEBUTTON
@PLACEHOLDER = 'xx-xx-xxxx'",ZQ,,,bia_lastmenses,Data da última menstruação,avaliao_mdica,Last menstruation
694,ovulation_days_after_lmp,Dias após DUM para ovulação,0,0,1,1,1,0,medical,calc,d,[bia_cycleduration] - 14,,,,,[bia_menses] = '1' AND [bia_mensesreg] = '1',, @HIDDEN,ZR,,,bia_ovulation_1,Nº de dias depois da DUM que a pessoa vai ovular,avaliao_mdica,Days after LMP for ovulation
695,next_ovulation_date,Próxima ovulação,0,0,1,1,1,0,medical,text,D,,,date_dmy,,,[bia_menses] = '1' AND [bia_mensesreg] = '1',," @CALCDATE([bia_lastmenses], ([bia_ovulation_1] - 1), 'd')",ZS,,,bia_ovulationdate,Data da próxima ovulação,avaliao_mdica,Next ovulation date
696,next_menses_date,Próxima menstruação,0,0,1,1,1,0,medical,text,D,,,date_dmy,,,[bia_menses] = '1' AND [bia_mensesreg] = '1',," @CALCDATE([bia_lastmenses], [bia_cycleduration], 'd')",ZT,,,bia_nextmenses,Data da próxima menstruação,avaliao_mdica,Next menstruation date
697,cycle_phase,Fase ciclo menstrual,1,0,1,1,1,0,medical,text,c,,,,,,[bia_menses] = '1' AND [bia_mensesreg] = '1',y," @CALCTEXT(if([bia_ovulationdate] = '','', if(datediff([bia_ovulationdate], [md_date], 'd', true) = '0', 'dia da ovulação', if(datediff([bia_ovulationdate], [md_date], 'd', true) > '0', 'fase lutea', 'fase folicular'))))",ZU,,,bia_menstrualcy,Fase do ciclo menstrual,avaliao_mdica,Menstrual cycle phase
698,drugs_dose_change,Mudança na dose/MEU?,1,0,1,1,1,0,medical,radio,f,"0, Não | 1, Sim",,,,,,y,,ZV,"data$drugs_dose_change.factor = factor(data$drugs_dose_change,levels=c(""0"",""1"")) # drugs_dose_change 80","levels(data$drugs_dose_change.factor)=c(""Não"",""Sim"") # drugs_dose_change 52",md_drugs,Alguma mudança nos MEU ou dosagem?,avaliao_mdica,Change in dose/MEU?
699,drugs_dose_change_notes,Notas,1,0,1,1,1,0,medical,notes,c,,,,,,[md_drugs] = '1',, @PLACEHOLDER = 'Notas',ZW,,,md_drugs_note,Notas,avaliao_mdica,Notes
700,pipe_symptoms_1st_visit,Sintomas 1ª visita,0,0,1,1,1,0,medical,notes,c,,,,,,,," @IF([1visit_arm_1][c4876_yn][1] = '1', @SETVALUE= '[1visit_arm_1][sym_ncit_concat][last-instance]',@HIDDEN)",ZX,,,md_pipesym1st,Piping sintomas 1ª visita,avaliao_mdica,Symptoms 1st visit
701,pipe_symptoms_2nd_visit,Sintomas 2ª visita,0,0,1,1,1,0,medical,notes,c,,,,,,,," @IF([2visit_arm_1][c4876_yn][1] = '1', @SETVALUE= '[2visit_arm_1][sym_ncit_concat][last-instance]',@HIDDEN)",ZY,,,md_pipesym2nd,Piping sintomas 2ª visita,avaliao_mdica,Symptoms 2nd visit
702,pipe_symptoms_3rd_visit,Sintomas 3ª visita,0,0,1,1,1,0,medical,notes,c,,,,,,,," @IF([3visit_arm_1][c4876_yn][1] = '1', @SETVALUE= '[3visit_arm_1][sym_ncit_concat][last-instance]',@HIDDEN)",ZZ,,,md_pipesym3rd,Piping sintomas 3ª visita,avaliao_mdica,Symptoms 3rd visit
703,phy_exam_1st_concat,Exame físico 1ª visita concatenado,0,0,1,1,1,0,medical,notes,c,,,,,,,," @IF([1visit_arm_1][phyex_finding_yn][1] = '1', @SETVALUE='ACHADOS DE EXAME FÍSICO - 1ª visita
[1visit_arm_1][phyexam_concat][last-instance]
[1visit_arm_1][phyexam_concat2][last-instance]',@HIDDEN)",AAA,,,phy_exam_1st,"Exame físico 1ª visita, concatenação das variáveis: phyexam_concat e phyexam_concat2",avaliao_mdica,Concatenated physical exam 1st visit
704,phy_exam_2nd_concat,Exame físico 2ª visita concatenado,0,0,1,1,1,0,medical,notes,c,,,,,,,," @IF([event-number] >= '3' and [2visit_arm_1][phyex_finding_yn][1] = '1', @SETVALUE='ACHADOS DE EXAME FÍSICO - 2ªvisita
[2visit_arm_1][phyexam_concat][last-instance]
[2visit_arm_1][phyexam_concat2][last-instance]',@HIDDEN)",AAB,,,phy_exam_2nd,"Exame físico 2ª visita, concatenação das variáveis: phyexam_concat e phyexam_concat2",avaliao_mdica,Concatenated physical exam 2nd visit
705,phy_exam_3rd_concat,Exame físico 3ª visita concatenado,0,0,1,1,1,0,medical,notes,c,,,,,,,," @IF([event-number] = '4' and [3visit_arm_1][phyex_finding_yn][1] = '1', @SETVALUE='ACHADOS DE EXAME FÍSICO - 3ª visita
[3visit_arm_1][phyexam_concat][last-instance]
[3visit_arm_1][phyexam_concat2][last-instance]',@HIDDEN)",AAC,,,phy_exam_3rd,"Exame físico 3ª visita, concatenação das variáveis: phyexam_concat e phyexam_concat2",avaliao_mdica,Concatenated physical exam 3rd visit
